[30/1/2025 | 18:16:9] -- User asd has been registrated
[31/1/2025 | 3:49:26] -- User iyan logged succesfully
[31/1/2025 | 3:51:10] -- User iyan logged succesfully
[31/1/2025 | 3:58:44] -- User iyan logged succesfully
[31/1/2025 | 3:59:45] -- User iyan logged succesfully
[31/1/2025 | 4:5:45] -- User iyan logged succesfully
[31/1/2025 | 4:6:22] -- User iyan logged succesfully
[31/1/2025 | 4:7:2] -- User iyan logged succesfully
[31/1/2025 | 6:1:6] -- User iyan logged succesfully
[31/1/2025 | 6:2:59] -- User iyan logged succesfully
[31/1/2025 | 6:8:48] -- User iyan logged succesfully
[31/1/2025 | 6:8:55] -- User t1ad has been registrated
[31/1/2025 | 6:9:29] -- User iyan logged succesfully
[31/1/2025 | 6:9:40] -- User t3admin has been registrated
[31/1/2025 | 20:28:30] -- User iyan logged succesfully
[31/1/2025 | 20:28:37] -- User t1admin has been registrated
[31/1/2025 | 20:32:14] -- User iyan logged succesfully
[31/1/2025 | 20:32:28] -- User t1admin already exist in credentialsFile or database
[31/1/2025 | 20:32:39] -- User t212admin has been registrated
[31/1/2025 | 20:33:30] -- User iyan logged succesfully
[31/1/2025 | 20:33:36] -- User asd has been registrated
[31/1/2025 | 20:35:0] -- User iyan logged succesfully
[31/1/2025 | 20:35:5] -- User sadsdaasd has been registrated
[31/1/2025 | 20:35:5] -- Tournaments.dat not found or error on reading
[31/1/2025 | 20:35:5] -- Tournament null added.
[31/1/2025 | 20:39:57] -- User iyan logged succesfully
[31/1/2025 | 20:40:11] -- User iyan logged succesfully
[31/1/2025 | 20:40:17] -- User ttt has been registrated
[31/1/2025 | 20:40:17] -- Tournaments.dat not found or error on reading
[31/1/2025 | 20:40:17] -- Tournament null added.
[31/1/2025 | 20:41:5] -- User iyan logged succesfully
[31/1/2025 | 20:41:12] -- User t1 has been registrated
[31/1/2025 | 20:41:13] -- Tournaments.dat not found or error on reading
[31/1/2025 | 20:41:13] -- Tournament null added.
[31/1/2025 | 20:42:48] -- User iyan logged succesfully
[31/1/2025 | 20:42:58] -- User g has been registrated
[31/1/2025 | 20:42:58] -- Tournaments.dat not found or error on reading
[31/1/2025 | 20:42:58] -- Tournament null added.
[31/1/2025 | 20:43:3] -- User g logged succesfully
[31/1/2025 | 20:43:12] -- User iyan logged succesfully
[31/1/2025 | 20:43:17] -- Tournaments.dat not found or error on reading
[31/1/2025 | 20:43:17] -- Tournament null added.
[31/1/2025 | 20:44:33] -- User iyan logged succesfully
[31/1/2025 | 20:45:20] -- User iyan logged succesfully
[31/1/2025 | 20:46:55] -- User iyan logged succesfully
[31/1/2025 | 20:47:10] -- User iyan logged succesfully
[31/1/2025 | 20:47:34] -- User iyan logged succesfully
[31/1/2025 | 20:53:28] -- User iyan logged succesfully
[31/1/2025 | 20:53:58] -- User iyan logged succesfully
[31/1/2025 | 20:55:24] -- User iyan logged succesfully
[31/1/2025 | 20:55:36] -- User gt has been registrated
[31/1/2025 | 20:55:36] -- Tournaments.dat not found or error on reading
[31/1/2025 | 20:55:36] -- Tournament null added.
[31/1/2025 | 20:55:47] -- User iyan logged succesfully
[1/2/2025 | 0:0:12] -- User iyan logged succesfully
[1/2/2025 | 0:0:53] -- User iyan logged succesfully
[1/2/2025 | 0:1:9] -- User t1admin has been registrated
[1/2/2025 | 0:1:9] -- Tournaments.dat not found or error on reading
[1/2/2025 | 0:1:9] -- Tournament null added.
[1/2/2025 | 0:2:2] -- User t1admin logged succesfully
[1/2/2025 | 0:4:20] -- User a has been registrated
[1/2/2025 | 0:4:20] -- Trainer a log in succesfully
[1/2/2025 | 0:5:8] -- User a logged succesfully
[1/2/2025 | 0:5:21] -- Trainer a log in succesfully
[1/2/2025 | 0:7:53] -- User a logged succesfully
[1/2/2025 | 0:8:1] -- Trainer a log in succesfully
[1/2/2025 | 0:8:39] -- User a logged succesfully
[1/2/2025 | 0:8:39] -- Trainer a log in succesfully
[1/2/2025 | 0:11:17] -- User a logged succesfully
[1/2/2025 | 0:11:37] -- Trainer a log in succesfully
[1/2/2025 | 0:12:30] -- User a logged succesfully
[1/2/2025 | 0:12:33] -- Trainer a log in succesfully
[1/2/2025 | 0:16:49] -- User a logged succesfully
[1/2/2025 | 0:16:51] -- Trainer a log in succesfully
[1/2/2025 | 0:17:46] -- User t1 not found
[1/2/2025 | 0:17:49] -- User t1 not found
[1/2/2025 | 0:17:52] -- User t1admin logged succesfully
[1/2/2025 | 0:22:26] -- User t1admin logged succesfully
[1/2/2025 | 0:23:12] -- User t1admin logged succesfully
[1/2/2025 | 0:24:59] -- User a logged succesfully
[1/2/2025 | 0:24:59] -- Trainer a log in succesfully
[1/2/2025 | 0:25:4] -- User t1admin logged succesfully
[2/2/2025 | 22:1:29] -- User a already exist in credentialsFile or database
[2/2/2025 | 22:1:31] -- User a already exist in credentialsFile or database
[2/2/2025 | 22:1:35] -- User b has been registrated
[2/2/2025 | 22:1:35] -- Trainer b log in succesfully
[2/2/2025 | 22:1:39] -- User iyan logged succesfully
[2/2/2025 | 22:1:47] -- User t1admin already exist in credentialsFile or database
[2/2/2025 | 22:1:54] -- User t2admin has been registrated
[2/2/2025 | 22:1:54] -- Tournaments.dat not found or error on reading
[2/2/2025 | 22:1:54] -- Tournament null added.
[2/2/2025 | 22:3:8] -- User b logged succesfully
[2/2/2025 | 22:3:8] -- Trainer b log in succesfully
[2/2/2025 | 22:3:13] -- User a logged succesfully
[2/2/2025 | 22:3:40] -- User a has been registrated
[2/2/2025 | 22:3:40] -- Trainer a log in succesfully
[2/2/2025 | 22:3:43] -- User a logged succesfully
[2/2/2025 | 22:3:43] -- Trainer a log in succesfully
[2/2/2025 | 22:3:48] -- User b has been registrated
[2/2/2025 | 22:3:48] -- Trainer b log in succesfully
[2/2/2025 | 22:3:51] -- User iyan logged succesfully
[2/2/2025 | 22:3:59] -- User t1admin has been registrated
[2/2/2025 | 22:3:59] -- Tournaments.dat not found or error on reading
[2/2/2025 | 22:3:59] -- Tournament null added.
[2/2/2025 | 22:4:5] -- User a logged succesfully
[2/2/2025 | 22:4:5] -- Trainer a log in succesfully
[2/2/2025 | 22:4:9] -- User b logged succesfully
[2/2/2025 | 22:4:9] -- Trainer b log in succesfully
[2/2/2025 | 22:4:46] -- User b logged succesfully
[2/2/2025 | 22:4:46] -- Trainer b log in succesfully
[2/2/2025 | 22:12:38] -- User a has been registrated
[2/2/2025 | 22:12:38] -- Trainer a log in succesfully
[2/2/2025 | 22:12:38] -- License exported
[2/2/2025 | 22:12:50] -- User iyan logged succesfully
[2/2/2025 | 22:13:3] -- User t1admin has been registrated
[2/2/2025 | 22:13:3] -- Tournaments.dat not found or error on reading
[2/2/2025 | 22:13:3] -- Tournament null added.
[2/2/2025 | 22:13:10] -- User a logged succesfully
[2/2/2025 | 22:13:10] -- Trainer a log in succesfully
[2/2/2025 | 22:13:20] -- User t1admin logged succesfully
[2/2/2025 | 22:13:55] -- User b has been registrated
[2/2/2025 | 22:13:55] -- Trainer b log in succesfully
[2/2/2025 | 22:13:58] -- User b logged succesfully
[2/2/2025 | 22:13:58] -- Trainer b log in succesfully
[2/2/2025 | 22:14:4] -- User t1admin logged succesfully
[2/2/2025 | 22:14:36] -- User iyan logged succesfully
[2/2/2025 | 22:14:42] -- User t1admin logged succesfully
[2/2/2025 | 22:15:19] -- User t1admin logged succesfully
[2/2/2025 | 22:20:39] -- User t1admin not found
[2/2/2025 | 22:20:42] -- User t1admin logged succesfully
[2/2/2025 | 22:21:18] -- User iyan logged succesfully
[2/2/2025 | 22:21:21] -- User t1admin logged succesfully
[2/2/2025 | 22:37:29] -- User t1admin logged succesfully
[2/2/2025 | 22:39:56] -- User iyan logged succesfully
[2/2/2025 | 22:40:5] -- User t1admin already exist in credentialsFile or database
[2/2/2025 | 22:40:26] -- User t1admin has been registrated
[2/2/2025 | 22:40:26] -- Tournaments.dat not found or error on reading
[2/2/2025 | 22:40:26] -- Tournament null added.
[2/2/2025 | 22:40:45] -- User t1admin logged succesfully
[2/2/2025 | 22:41:38] -- User t1admin logged succesfully
[2/2/2025 | 22:41:45] -- User a has been registrated
[2/2/2025 | 22:41:45] -- Trainer a log in succesfully
[2/2/2025 | 22:41:49] -- User iyan logged succesfully
[2/2/2025 | 22:41:52] -- User t1admin not found
[2/2/2025 | 22:41:55] -- User t1admimn not found
[2/2/2025 | 22:41:58] -- User t1admin logged succesfully
[2/2/2025 | 22:42:44] -- User b has been registrated
[2/2/2025 | 22:42:44] -- Trainer b log in succesfully
[2/2/2025 | 22:42:49] -- User b logged succesfully
[2/2/2025 | 22:42:49] -- Trainer b log in succesfully
[2/2/2025 | 22:42:53] -- User iyan logged succesfully
[2/2/2025 | 22:43:46] -- User t1admin logged succesfully
[2/2/2025 | 22:44:2] -- User c has been registrated
[2/2/2025 | 22:44:2] -- Trainer c log in succesfully
[2/2/2025 | 22:44:6] -- User t1admin logged succesfully
[2/2/2025 | 22:44:25] -- User t1admin logged succesfully
[2/2/2025 | 22:45:42] -- User t1admin logged succesfully
[2/2/2025 | 23:19:24] -- User t1admin logged succesfully
[2/2/2025 | 23:21:32] -- User t1admin logged succesfully
[2/2/2025 | 23:23:15] -- User t1admin logged succesfully
[2/2/2025 | 23:28:12] -- User t1admin logged succesfully
[2/2/2025 | 23:28:41] -- User t1admin logged succesfully
[2/2/2025 | 23:31:52] -- User t1admin logged succesfully
[2/2/2025 | 23:40:29] -- User t1admin logged succesfully
[2/2/2025 | 23:48:17] -- User t1admin logged succesfully
[2/2/2025 | 23:59:3] -- User iyan logged succesfully
[2/2/2025 | 23:59:14] -- User t1admin has been registrated
[2/2/2025 | 23:59:14] -- Tournaments.dat not found or error on reading
[2/2/2025 | 23:59:14] -- Tournament null added.
[2/2/2025 | 23:59:39] -- User a has been registrated
[2/2/2025 | 23:59:39] -- Trainer a log in succesfully
[2/2/2025 | 23:59:43] -- User b has been registrated
[2/2/2025 | 23:59:43] -- Trainer b log in succesfully
[2/2/2025 | 23:59:48] -- User c has been registrated
[2/2/2025 | 23:59:48] -- Trainer c log in succesfully
[2/2/2025 | 23:59:51] -- User a logged succesfully
[2/2/2025 | 23:59:51] -- Trainer a log in succesfully
[2/2/2025 | 23:59:54] -- User t1admin logged succesfully
[3/2/2025 | 0:4:40] -- User iyan logged succesfully
[3/2/2025 | 0:4:53] -- User t1admin already exist in credentialsFile or database
[3/2/2025 | 0:4:59] -- User t2admin has been registrated
[3/2/2025 | 0:4:59] -- Tournaments.dat not found or error on reading
[3/2/2025 | 0:4:59] -- Tournament null added.
[3/2/2025 | 0:13:41] -- User a already exist in credentialsFile or database
[3/2/2025 | 0:13:52] -- User a has been registrated
[3/2/2025 | 0:13:52] -- Trainer a log in succesfully
[3/2/2025 | 0:13:57] -- User iyan logged succesfully
[3/2/2025 | 0:14:4] -- User t1admin has been registrated
[3/2/2025 | 0:14:4] -- Tournaments.dat not found or error on reading
[3/2/2025 | 0:14:4] -- Tournament null added.
[3/2/2025 | 0:14:12] -- User b has been registrated
[3/2/2025 | 0:14:12] -- Trainer b log in succesfully
[3/2/2025 | 0:15:1] -- User a logged succesfully
[3/2/2025 | 0:15:1] -- Trainer a log in succesfully
[3/2/2025 | 0:15:3] -- User a logged succesfully
[3/2/2025 | 0:15:3] -- Trainer a log in succesfully
[3/2/2025 | 0:15:6] -- User b logged succesfully
[3/2/2025 | 0:15:6] -- Trainer b log in succesfully
[3/2/2025 | 0:15:10] -- User c has been registrated
[3/2/2025 | 0:15:10] -- Trainer c log in succesfully
[3/2/2025 | 0:15:13] -- User t1admin logged succesfully
[3/2/2025 | 0:53:17] -- User iyan logged succesfully
[3/2/2025 | 0:53:23] -- User t1admin has been registrated
[3/2/2025 | 0:53:23] -- Tournaments.dat not found or error on reading
[3/2/2025 | 0:53:23] -- Tournament null added.
[3/2/2025 | 0:53:44] -- User a has been registrated
[3/2/2025 | 0:53:44] -- Trainer es log in succesfully
[3/2/2025 | 0:54:12] -- User b has been registrated
[3/2/2025 | 0:54:12] -- Trainer b log in succesfully
[3/2/2025 | 0:54:16] -- User c has been registrated
[3/2/2025 | 0:54:16] -- Trainer c log in succesfully
[3/2/2025 | 0:54:21] -- User t1admin logged succesfully
[3/2/2025 | 0:55:42] -- User a has been registrated
[3/2/2025 | 0:55:42] -- Trainer a log in succesfully
[3/2/2025 | 0:55:42] -- License exported
[3/2/2025 | 0:55:53] -- User a logged succesfully
[3/2/2025 | 0:55:53] -- Trainer a log in succesfully
[3/2/2025 | 0:56:2] -- User iyan logged succesfully
[3/2/2025 | 0:56:12] -- User t1admin has been registrated
[3/2/2025 | 0:56:12] -- Tournaments.dat not found or error on reading
[3/2/2025 | 0:56:12] -- Tournament null added.
[3/2/2025 | 0:58:12] -- User a logged succesfully
[3/2/2025 | 0:58:13] -- Trainer a log in succesfully
[3/2/2025 | 0:58:16] -- User b not found
[3/2/2025 | 0:58:18] -- User a logged succesfully
[3/2/2025 | 0:58:18] -- Trainer a log in succesfully
[3/2/2025 | 0:58:21] -- User b has been registrated
[3/2/2025 | 0:58:21] -- Trainer b log in succesfully
[3/2/2025 | 0:58:25] -- User c has been registrated
[3/2/2025 | 0:58:25] -- Trainer c log in succesfully
[3/2/2025 | 0:58:28] -- User t1admin logged succesfully
[3/2/2025 | 1:2:48] -- User iyan logged succesfully
[3/2/2025 | 1:2:56] -- User t1admin has been registrated
[3/2/2025 | 1:2:56] -- Tournaments.dat not found or error on reading
[3/2/2025 | 1:2:56] -- Tournament null added.
[3/2/2025 | 1:3:5] -- User a has been registrated
[3/2/2025 | 1:3:5] -- Trainer a log in succesfully
[3/2/2025 | 1:3:8] -- User b has been registrated
[3/2/2025 | 1:3:8] -- Trainer b log in succesfully
[3/2/2025 | 1:3:12] -- User c has been registrated
[3/2/2025 | 1:3:12] -- Trainer c log in succesfully
[3/2/2025 | 1:3:24] -- User t1admin logged succesfully
[3/2/2025 | 1:4:51] -- User iyan logged succesfully
[3/2/2025 | 1:4:58] -- User t1admin has been registrated
[3/2/2025 | 1:4:58] -- Tournaments.dat not found or error on reading
[3/2/2025 | 1:4:58] -- Tournament null added.
[3/2/2025 | 1:5:1] -- User a has been registrated
[3/2/2025 | 1:5:1] -- Trainer a log in succesfully
[3/2/2025 | 1:5:4] -- User b has been registrated
[3/2/2025 | 1:5:4] -- Trainer b log in succesfully
[3/2/2025 | 1:5:8] -- User c has been registrated
[3/2/2025 | 1:5:8] -- Trainer c log in succesfully
[3/2/2025 | 1:5:14] -- User t1admin logged succesfully
[3/2/2025 | 1:7:27] -- User iyan logged succesfully
[3/2/2025 | 1:7:33] -- User t1admin has been registrated
[3/2/2025 | 1:7:33] -- Tournaments.dat not found or error on reading
[3/2/2025 | 1:7:33] -- Tournament null added.
[3/2/2025 | 1:7:36] -- User a has been registrated
[3/2/2025 | 1:7:36] -- Trainer a log in succesfully
[3/2/2025 | 1:7:39] -- User b has been registrated
[3/2/2025 | 1:7:39] -- Trainer b log in succesfully
[3/2/2025 | 1:7:43] -- User c has been registrated
[3/2/2025 | 1:7:43] -- Trainer c log in succesfully
[3/2/2025 | 1:7:48] -- User a logged succesfully
[3/2/2025 | 1:7:48] -- Trainer a log in succesfully
[3/2/2025 | 1:7:50] -- License exported
[3/2/2025 | 1:7:50] -- Tournament t1 has been created
[3/2/2025 | 1:8:53] -- User t1admin logged succesfully
[3/2/2025 | 1:9:34] -- User a logged succesfully
[3/2/2025 | 1:9:34] -- Trainer a log in succesfully
[3/2/2025 | 1:9:35] -- License exported
[3/2/2025 | 1:10:14] -- User b logged succesfully
[3/2/2025 | 1:10:14] -- Trainer b log in succesfully
[3/2/2025 | 1:10:15] -- License exported
[3/2/2025 | 1:16:6] -- User a logged succesfully
[3/2/2025 | 1:16:7] -- Trainer a log in succesfully
[3/2/2025 | 1:16:7] -- License exported
[3/2/2025 | 1:16:42] -- User a logged succesfully
[3/2/2025 | 1:16:43] -- Trainer a log in succesfully
[3/2/2025 | 1:16:44] -- License exported
[3/2/2025 | 1:17:38] -- User a logged succesfully
[3/2/2025 | 1:17:39] -- Trainer a log in succesfully
[3/2/2025 | 1:17:39] -- License exported
[3/2/2025 | 1:21:49] -- User a logged succesfully
[3/2/2025 | 1:21:49] -- Trainer a log in succesfully
[3/2/2025 | 1:21:57] -- User a logged succesfully
[3/2/2025 | 1:21:57] -- Trainer a log in succesfully
[3/2/2025 | 1:21:57] -- License exported
[3/2/2025 | 1:22:43] -- User a logged succesfully
[3/2/2025 | 1:22:43] -- Trainer a log in succesfully
[3/2/2025 | 1:25:47] -- User a logged succesfully
[3/2/2025 | 1:25:47] -- Trainer a log in succesfully
[3/2/2025 | 1:25:47] -- License exported
[3/2/2025 | 1:26:7] -- User t1admin logged succesfully
[3/2/2025 | 1:26:38] -- User t1admiun not found
[3/2/2025 | 1:26:39] -- User t1admin logged succesfully
[3/2/2025 | 1:28:3] -- User iyan logged succesfully
[3/2/2025 | 1:28:25] -- User iyan logged succesfully
[3/2/2025 | 1:28:35] -- User t1admin has been registrated
[3/2/2025 | 1:28:35] -- Tournaments.dat not found or error on reading
[3/2/2025 | 1:28:35] -- Tournament null added.
[3/2/2025 | 1:28:48] -- User a has been registrated
[3/2/2025 | 1:28:48] -- Trainer a log in succesfully
[3/2/2025 | 1:28:51] -- User b has been registrated
[3/2/2025 | 1:28:51] -- Trainer b log in succesfully
[3/2/2025 | 1:28:55] -- User c has been registrated
[3/2/2025 | 1:28:55] -- Trainer c log in succesfully
[3/2/2025 | 1:28:59] -- User t1admin logged succesfully
[3/2/2025 | 1:30:16] -- User c logged succesfully
[3/2/2025 | 1:30:16] -- Trainer c log in succesfully
[3/2/2025 | 1:30:16] -- License exported
[3/2/2025 | 1:30:16] -- Tournament t1 has been created
[3/2/2025 | 1:38:22] -- User a has been registrated
[3/2/2025 | 1:38:22] -- Trainer a log in succesfully
[3/2/2025 | 1:38:22] -- License exported
[3/2/2025 | 1:38:46] -- User b has been registrated
[3/2/2025 | 1:38:46] -- Trainer b log in succesfully
[3/2/2025 | 1:38:48] -- User iyan logged succesfully
[3/2/2025 | 1:39:8] -- User iyan logged succesfully
[3/2/2025 | 1:39:25] -- User t1admin has been registrated
[3/2/2025 | 1:39:25] -- Tournaments.dat not found or error on reading
[3/2/2025 | 1:39:25] -- Tournament null added.
[3/2/2025 | 1:39:28] -- User a logged succesfully
[3/2/2025 | 1:39:28] -- Trainer a log in succesfully
[3/2/2025 | 1:39:32] -- User b already exist in credentialsFile or database
[3/2/2025 | 1:39:36] -- User b already exist in credentialsFile or database
[3/2/2025 | 1:39:39] -- User c has been registrated
[3/2/2025 | 1:39:39] -- Trainer c log in succesfully
[3/2/2025 | 1:40:23] -- User t1admin logged succesfully
[3/2/2025 | 1:40:27] -- User b logged succesfully
[3/2/2025 | 1:40:27] -- Trainer b log in succesfully
[3/2/2025 | 1:40:30] -- User b logged succesfully
[3/2/2025 | 1:40:30] -- Trainer b log in succesfully
[3/2/2025 | 1:40:34] -- User a logged succesfully
[3/2/2025 | 1:40:34] -- Trainer a log in succesfully
[3/2/2025 | 1:40:39] -- User b logged succesfully
[3/2/2025 | 1:40:39] -- Trainer b log in succesfully
[3/2/2025 | 1:40:44] -- User t1admin logged succesfully
[3/2/2025 | 1:41:39] -- User c logged succesfully
[3/2/2025 | 1:41:39] -- Trainer c log in succesfully
[3/2/2025 | 1:41:39] -- License exported
[3/2/2025 | 1:41:39] -- Tournament t1 has been created
[3/2/2025 | 1:42:42] -- User iyan logged succesfully
[3/2/2025 | 1:42:50] -- User t1admin has been registrated
[3/2/2025 | 1:42:50] -- Tournaments.dat not found or error on reading
[3/2/2025 | 1:42:50] -- Tournament null added.
[3/2/2025 | 1:44:34] -- User a logged succesfully
[3/2/2025 | 1:44:34] -- Trainer a log in succesfully
[3/2/2025 | 1:44:36] -- User b logged succesfully
[3/2/2025 | 1:44:36] -- Trainer b log in succesfully
[3/2/2025 | 1:44:45] -- User c logged succesfully
[3/2/2025 | 1:44:45] -- Trainer c log in succesfully
[3/2/2025 | 1:45:25] -- User t1admin logged succesfully
[3/2/2025 | 1:48:34] -- User iyan logged succesfully
[3/2/2025 | 1:49:34] -- User iyan logged succesfully
[3/2/2025 | 1:49:39] -- User t1admin has been registrated
[3/2/2025 | 1:49:39] -- Tournaments.dat not found or error on reading
[3/2/2025 | 1:49:39] -- Tournament null added.
[3/2/2025 | 1:49:44] -- User a already exist in credentialsFile or database
[3/2/2025 | 1:49:46] -- User a already exist in credentialsFile or database
[3/2/2025 | 1:49:52] -- User t1admin already exist in credentialsFile or database
[3/2/2025 | 1:49:56] -- User t1admin already exist in credentialsFile or database
[3/2/2025 | 1:50:12] -- User a logged succesfully
[3/2/2025 | 1:50:12] -- Trainer a log in succesfully
[3/2/2025 | 1:50:15] -- User b logged succesfully
[3/2/2025 | 1:50:15] -- Trainer b log in succesfully
[3/2/2025 | 1:50:19] -- User c logged succesfully
[3/2/2025 | 1:50:19] -- Trainer c log in succesfully
[3/2/2025 | 1:50:48] -- User t1admin logged succesfully
[3/2/2025 | 1:52:5] -- User t1admin logged succesfully
[3/2/2025 | 1:53:21] -- User iyan logged succesfully
[3/2/2025 | 1:53:41] -- User t1admin has been registrated
[3/2/2025 | 1:53:41] -- Tournaments.dat not found or error on reading
[3/2/2025 | 1:53:41] -- Tournament null added.
[3/2/2025 | 1:53:43] -- User a logged succesfully
[3/2/2025 | 1:53:43] -- Trainer a log in succesfully
[3/2/2025 | 1:53:49] -- User b logged succesfully
[3/2/2025 | 1:53:49] -- Trainer b log in succesfully
[3/2/2025 | 1:53:52] -- User c logged succesfully
[3/2/2025 | 1:53:52] -- Trainer c log in succesfully
[3/2/2025 | 1:54:2] -- User t1admin logged succesfully
[3/2/2025 | 1:54:48] -- User iyan logged succesfully
[3/2/2025 | 1:54:53] -- User t1admin has been registrated
[3/2/2025 | 1:54:53] -- Tournaments.dat not found or error on reading
[3/2/2025 | 1:54:53] -- Tournament null added.
[3/2/2025 | 1:54:56] -- User a logged succesfully
[3/2/2025 | 1:54:56] -- Trainer a log in succesfully
[3/2/2025 | 1:54:59] -- User b logged succesfully
[3/2/2025 | 1:54:59] -- Trainer b log in succesfully
[3/2/2025 | 1:55:2] -- User c logged succesfully
[3/2/2025 | 1:55:2] -- Trainer c log in succesfully
